min.log.penalty, max.log.penalty
95.945335, 96.928113
75.879865, 76.835545
69.511807, 70.698743
18.770006, 19.667460
-0.522963, 0.238673
58.227325, 58.928120
78.114822, 78.960035
-inf, 7.542351
30.627177, 31.286704
89.431373, 89.927885
24.849238, 25.971556
22.132097, 22.835530
66.625665, 68.008165
6.676390, inf
27.533740, 28.318047
5.433718, 6.366664
8.903957, 9.794981
-inf, 41.251543
54.399580, inf
24.569779, inf
-inf, 50.392252
4.092430, inf
23.492746, 24.652276
-inf, 6.824880
40.702079, 41.500001
81.921925, 83.417479
-inf, 37.464760
25.636347, 26.762594
89.096639, 90.154812
108.449903, 109.035262
-inf, 10.522247
11.872218, 13.067687
91.339536, 92.108706
-inf, 24.722046
-inf, 104.188828
4.248095, 5.730702
62.985368, 63.942533
35.577057, 36.513860
4.242371, 4.971680
3.128263, 3.894204
1.747096, 2.675501
15.300642, 16.298952
31.146075, 31.776558
49.116980, inf
-inf, 44.924725
6.531185, 7.588351
-inf, 98.826104
24.785142, 25.890401
88.223370, inf
51.005882, 52.133938
-inf, 24.191217
57.939387, 58.773113
31.992667, 32.628495
49.372224, inf
101.500969, 102.270811
14.461047, inf
5.845037, 6.552111
7.035647, 7.768975
79.796713, 80.857483
8.674539, 9.519888
62.394563, 63.283468
12.235344, 12.842344
81.086054, 81.687081
57.936733, 58.818668
23.006033, 24.309530
19.293299, 20.387058
40.042129, 41.391119
12.237966, 13.359644
42.124503, inf
42.496255, 43.249738
-inf, 0.844055
-inf, 73.694375
35.135242, 36.088439
4.963900, 5.906161
26.725671, inf
-inf, 105.749233
52.948829, 53.927832
5.097615, 6.188492
7.708473, 8.542523
94.064040, 95.200770
72.154190, 72.754545
7.890186, 8.827391
47.647811, 48.884071
-inf, 95.976980
5.636511, 6.551624
65.494572, 66.556354
75.371187, 76.367098
29.488643, inf
81.292399, 81.857418
92.015693, 92.927119
6.310209, inf
41.094048, 41.926807
9.948154, 11.105984
47.887664, 48.574046
11.018528, 11.849563
57.036230, 57.756302
32.398537, 33.153749
4.605139, 5.712826
1.873689, 2.588136
-inf, 39.909010
6.261070, inf
80.019538, 80.837357
5.768775, 6.407044
27.318311, 28.142601
58.288939, 59.471697
55.465844, inf
0.083638, 1.743309
87.262599, 88.126717
96.947235, 97.991585
3.018556, 4.008642
5.133093, 6.086100
5.056424, 5.706786
-inf, 16.092060
9.734036, 10.612953
10.211646, 11.036762
8.538240, 9.198957
101.285830, 102.199049
-inf, 11.758994
22.511490, 23.272562
83.475131, 84.251619
2.081827, 3.174688
12.042637, 12.686608
87.463334, 88.326786
8.523525, 9.635612
19.870186, inf
52.589432, 53.304768
68.944574, 70.201976
76.924954, 78.183771
61.482678, 62.174016
8.921786, 10.278353
-inf, 17.491751
41.790044, 43.289795
0.600686, 1.335844
7.734870, 9.039431
11.002075, 12.076415
19.203352, 20.448970
48.911896, inf
17.659183, 18.733521
-inf, 9.803600
-inf, 55.584374
22.579260, 23.476753
102.708486, 103.833736
2.120674, 2.913939
16.431255, 17.031520
1.732742, 2.818042
74.531134, 75.828116
40.545495, 41.713696
95.270954, 96.343541
10.353148, 11.114032
21.299810, 22.098415
92.892957, 93.979877
22.514961, 23.521772
22.061380, 22.755587
37.518314, inf
5.828139, 7.160017
7.063537, 8.127856
102.058552, 102.729891
27.065005, 27.626682
59.224609, 60.208293
67.861228, 69.198609
41.768761, inf
-inf, 38.239614
29.415251, 30.017787
18.781606, 19.991014
32.758331, 33.562814
11.759435, 12.696204
27.634599, 28.506846
84.065624, 85.025722
102.416333, 103.223531
29.561912, 30.538277
13.303204, 14.418151
-inf, 25.546238
76.173257, 77.375399
73.217744, 73.966523
-inf, 7.330125
4.524821, 5.457168
34.756968, 36.303129
8.076980, 8.891751
5.677948, 7.093750
26.572443, 27.353225
-inf, 41.236952
17.672583, 18.319986
8.093715, 9.204555
37.251728, inf
35.105829, 35.810484
-inf, 32.476522
42.077777, 42.842804
36.626651, inf
14.570571, 15.495480
2.068336, 3.096109
6.610581, inf
13.824550, 14.869808
102.330045, 103.464656
81.519339, 82.209563
9.768920, 10.801745
65.014301, 65.933986
75.260106, inf
11.358224, 12.733148
20.821833, 21.640538
80.433956, 81.240218
