Dataset = ATAC_JV_adipose
Using 6 threads to run hyperparameter search
run = hpo
missingCols = ['log.quartile.0%', 'log.quartile.25%', 'log.quartile.50%', 'log.log.quartile.0%', 'log.log.quartile.25%', 'log.log.quartile.50%', 'log.log.quartile.75%']
zeroVarCols = ['quartile.0%', 'log+1.quartile.0%']
[I 2020-05-25 00:09:20,943] Finished trial#0 with value: 0.0 with parameters: {'learning_rate': 0.025960148704784632, 'max_depth': 6, 'min_child_weight': 5.785110097185957, 'reg_alpha': 0.02592933951874614, 'reg_lambda': 94.79535470951775, 'aft_loss_distribution_scale': 59.792189966088664}. Best is trial#0 with value: 0.0.
[I 2020-05-25 00:09:20,982] Finished trial#1 with value: 0.0 with parameters: {'learning_rate': 0.021700356233281246, 'max_depth': 10, 'min_child_weight': 0.12944734970253305, 'reg_alpha': 0.3821743582853723, 'reg_lambda': 0.019417285233345023, 'aft_loss_distribution_scale': 77.30239617369978}. Best is trial#0 with value: 0.0.
[I 2020-05-25 00:09:21,022] Finished trial#2 with value: 0.0 with parameters: {'learning_rate': 0.007427524233321138, 'max_depth': 2, 'min_child_weight': 16.296291072270332, 'reg_alpha': 0.19582558085898152, 'reg_lambda': 0.011131527537034681, 'aft_loss_distribution_scale': 5.354161495240187}. Best is trial#0 with value: 0.0.
[I 2020-05-25 00:09:21,061] Finished trial#4 with value: 0.0 with parameters: {'learning_rate': 0.005120530118674052, 'max_depth': 2, 'min_child_weight': 0.9656445406790792, 'reg_alpha': 0.06241351543309751, 'reg_lambda': 2.4310201075020736, 'aft_loss_distribution_scale': 12.320187684077386}. Best is trial#0 with value: 0.0.
[I 2020-05-25 00:09:21,135] Finished trial#7 with value: 0.0 with parameters: {'learning_rate': 0.06193329694605549, 'max_depth': 4, 'min_child_weight': 85.64102568377403, 'reg_alpha': 72.49345506161193, 'reg_lambda': 28.162547064231457, 'aft_loss_distribution_scale': 4.359447551908468}. Best is trial#0 with value: 0.0.
[I 2020-05-25 00:09:21,198] Finished trial#6 with value: 0.5641792 with parameters: {'learning_rate': 0.12606770852715632, 'max_depth': 6, 'min_child_weight': 20.729014726250107, 'reg_alpha': 0.11782348250983589, 'reg_lambda': 0.0035771086534229, 'aft_loss_distribution_scale': 23.008880570130508}. Best is trial#6 with value: 0.5641792.
[I 2020-05-25 00:09:21,235] Finished trial#10 with value: 0.0 with parameters: {'learning_rate': 0.002179276785145299, 'max_depth': 2, 'min_child_weight': 0.1419506523051667, 'reg_alpha': 0.008661095370500931, 'reg_lambda': 0.6822361442976219, 'aft_loss_distribution_scale': 1.8340376113207788}. Best is trial#6 with value: 0.5641792.
[I 2020-05-25 00:09:21,286] Finished trial#3 with value: 0.167164 with parameters: {'learning_rate': 0.09694599037237388, 'max_depth': 2, 'min_child_weight': 0.25338951953453975, 'reg_alpha': 20.55411948339485, 'reg_lambda': 0.19116064430079224, 'aft_loss_distribution_scale': 5.023698129883973}. Best is trial#6 with value: 0.5641792.
[I 2020-05-25 00:09:21,335] Finished trial#8 with value: 0.6268656 with parameters: {'learning_rate': 0.5013553719028592, 'max_depth': 4, 'min_child_weight': 9.908005410875491, 'reg_alpha': 0.0007089260658446663, 'reg_lambda': 0.001686877323103157, 'aft_loss_distribution_scale': 2.4493691140330918}. Best is trial#8 with value: 0.6268656.
